Location,Avg. Utilization Rate,Course Waitlist,Visits,Coordinates
Gord And Irene Risk Community Centre,0.96547619,116,2486,"43.7472214,-79.56701679999998"
Markdale Preschool Site,0.96547619,25,830,"43.69419269999999,-79.42863109999996"
Edgehill House,0.965867918,28,2008,"43.6714413,-79.51326899999998"
St. Augustine CSS,0.967857143,230,1315,"43.7687311,-79.52416160000001"
Trinity Bellwoods Park,0.969135802,2,259,"43.6464131,-79.41306609999998"
O'Connor PS,0.970138889,223,4139,"43.7172852,-79.3044782"
Don Mills CI,0.970238095,4,1062,"43.7361633,-79.33986679999998"
Kingsview Village CS,0.971097604,860,4135,"43.6977392,-79.55086069999999"
Tecumseh Senior ES,0.971428571,24,990,"43.7629722,-79.21656489999998"
John English CS,0.971950272,"1,465",4028,"43.6118574,-79.494643"
Golf Road ES,0.973214286,15,529,"43.7629722,-79.21656489999998"
Centennial Arena (Etobicoke/York),0.973611111,23,1353,"43.6556289,-79.58633020000002"
Islington CS,0.974204545,"1,779",5663,"43.6475593,-79.52767510000001"
Knob Hill JES,0.975892857,56,1176,"43.7448162,-79.24969620000002"
Driftwood Community Recreation Centre,0.979513228,207,4457,"43.7652519,-79.51853979999999"
Grenoble Public School,0.98,46,1675,"43.7153654,-79.33282539999999"
Port Royal JES,0.980952381,9,1000,"43.8247481,-79.2896849"
Milliken Park Community Recreation,0.983526384,224,5034,"43.8302091,-79.2740086"
Topcliff PS,0.984876543,90,1863,"43.75546190000001,-79.50870069999996"
White Haven ES,0.985714286,48,1006,"43.7872798,-79.24828660000003"
Edithvale Community Centre,0.989880952,223,4120,"43.7771858,-79.42555349999998"
Henry Hudson Senior Elementary School,0.99047619,7,980,"43.77769050000001,-79.21427349999999"
Oakdale Park MS,0.995833333,29,1617,"43.747629,-79.51203909999998"
Smithfield CS,0.995993734,145,6666,"43.7486814,-79.59580979999998"
Downsview Arena,0.997142857,292,1694,"43.7188658,-79.51326899999998"
Iroquois JES,1,55,1020,"43.802883,-79.2694285"
Fairfield Seniors' Centre,1,5,152,"43.6395271,-79.51941820000002"
St. Gabriel CS,1,12,950,"43.7687713,-79.39248470000001"
Alexmuir Junior Elementary School,1,28,1020,"43.8091454,-79.28563400000002"
Agnes Macphail Junior Elementary School,1,7,1020,"43.8189544,-79.27841230000001"
